鋻	giám
譥	khiếu
譨	nông, nưu
譩	y
譫	chiêm, thiêm, thiềm
譬	thí
譭	hủy
譯	dịch
議	nghị
譱	thiện
譴	khiển
護	hộ
譽	dự
譅	sáp
譳	nậu
譶	đạp
譸	trù
譹	hiệu, hạo
讁	trích
讂	huyến
譾	tiễn
譿	huệ, tuệ
讀	đậu, độc
讄	lũy
讅	thẩm
讆	ngụy, vệ
讇	siểm
變	biến, biện
讌	yên, yến
讎	thù
讏	vệ
讐	thù
讔	ẩn
讋	triệp
讒	sàm
讓	nhượng
讕	lan
讖	sám, sấm
讙	hoan, hoán, huyên
讘	triếp
讚	tán
讜	đảng
讞	nghiễn, nghiện
讟	độc
谷	cốc, dục, lộc
谹	hoành
谺	ha
谻	cược
谼	hồng
谽	hàm
谾	hồng
谿	hoát, hề, khê
豀	hề, khê
豁	hoát, khoát
豂	liêu
豃	hãm
豄	độc
豆	đậu
豇	giang
豈	khải, khỉ, khởi
豉	thị
豊	lễ, phong
豋	đăng
豌	oản, uyển
豎	thụ
豏	hãm
豐	phong
豑	trật
豒	dật, trật
豓	diễm
豔	diễm
豕	thỉ
豖	súc
豗	hôi
豘	đồn
豚	đồn, độn
豜	kiên
豝	ba
象	tương, tượng
豟	ách
豢	hoạn
豣	kiên
豤	khẩn
豥	cai
豦	cứ
豨	hi, hy
豩	bân
豪	hào
豫	dự, tạ
豬	trư
豭	gia
豱	ôn
豯	hề
豰	hốc
豲	nguyên
豳	bân
豴	đích
豵	tông
豶	phần
豷	ế
豸	trãi, trĩ, trại
豹	báo
豺	sài
豻	ngan, ngạn
豽	nột
豾	phi
貀	nột
貂	điêu
貃	mạch
貄	tứ
貅	hưu
貆	hoan, hoàn
貈	hạc, lạc, mạch
貉	hào, hạc, lạc, mạ, mạch
貊	mạch
貌	mạc, mạo, mộc
貍	li, ly, mai, uất
貎	nghê
貓	miêu
貐	dũ
貔	tì, tỳ
貘	mô, mạc, mạch
貗	lâu
貙	khu, sơ
貛	hoan
貜	cước, quặc
贝	bối
贞	trinh
负	phụ
贠	viên
貝	bối
贡	cống
财	tài
责	trách, trái
贤	hiền
败	bại
账	trướng
货	hóa, thải, thắc
质	chí, chất
贩	phiến, phán
贪	tham
贫	bần
贬	biếm
购	cấu
贮	trữ
贯	quán
貞	trinh
貟	viên, vân
負	phụ
贰	nhị
贱	tiện
贲	bí, bôn, phần
贳	thế
贴	thiếp
贵	quý
贶	huống
贷	thải, thắc
贸	mậu
费	bí, bỉ, phí
贺	hạ
贻	di
財	tài
貢	cống
貣	thắc
貤	di, dị
贼	tặc
贽	chuế, chí
贾	cổ, giá, giả
贿	hối
赀	ti, ty
赁	nhấm, nhẫm
赂	lộ
赃	tang
资	tư
赅	cai
赆	tẫn
貧	bần
貨	hóa
販	phiến, phán
貪	tham
貫	oan, quán
責	trách, trái
貭	chất
貶	biếm
赇	cầu
赈	chẩn
赉	lãi, lại
赊	xa
貯	trữ
貰	thế
貳	nhị
貴	quý
買	mãi
貸	thải, thắc
貹	sính
貺	huống
費	bí, bỉ, phí, phất, phỉ
貼	thiếp
貽	di
貿	mậu
賀	hạ
賁	bí, bôn, phần, phẩn, phẫn
赋	phú
赌	đổ
赍	tê
赎	thục
赏	thưởng
赐	tứ
赑	bí
赒	chu
赓	canh
赔	bồi
貲	ti, ty, tý
賂	lộ
賃	nhấm, nhẫm
賄	hối
賅	cai
資	tư
賈	cổ, giá, giả
賉	tuất
賊	tặc
賍	tang
赖	lại
赗	phúng
賑	chẩn
賒	xa
賓	thấn, tân
賔	tân
賕	cầu
賖	tha
赘	chuế
赙	phụ
赚	trám
赛	trại, tái
賙	chu
賚	lãi, lại
賛	tán
賜	tứ
賝	sâm
賞	thưởng
賟	thưởng
賠	bồi
賡	canh
賢	hiền, hiện
賣	mại
賤	tiện
賥	túy
賦	phú
賧	đàm
賨	tung
質	chí, chất
賫	tê
賬	trướng
賭	đổ
赜	trách
賮	tẫn
賴	lại
賵	phúng
赝	nhạn
赞	tán
赟	uân
赠	tặng
賷	tê
賸	thặng, thứng
賺	trám
賻	phụ
購	cấu
賽	trại, tái
贅	chuế
赡	thiệm
赢	doanh
賾	trách
贄	chí, trập
贇	uân
贈	tặng
贉	đảm
贊	tán
贋	nhạn
贍	thiệm
贏	doanh
贐	tẫn
贑	cám, cống
贒	hiền
贓	tang
贔	bí
赣	cám, cống
贕	độc
贖	thục
贗	nhạn
贙	huyễn
贛	cám, cảm, cống
贜	tang
赤	thích, xích
赥	hức
赦	xá
赧	noãn, noản
赨	dung, đồng
赩	hách
赪	trinh, xanh
赫	hách
赭	giả
赬	sanh, trinh, xanh
赮	hà
赯	đường
赱	tẩu
走	tẩu
赳	củ
赴	phó
赵	triệu
赶	cản
起	khỉ, khởi
赸	san, sán
趁	sấn
趂	sấn
趄	thiết, thư
超	siêu
趈	trạm
越	hoạt, việt
趋	xu, xúc
趍	tri, xu, xúc
趎	trù
趑	tư
趒	điêu
趔	liệt
趕	cản
趖	toa
趗	xúc
趙	triệu
趟	thảng, tranh
趠	trác
趡	thủy
趢	lộc
趣	thú, xúc
趦	tư
趨	xu, xúc
趪	hoàng
趫	kiều, nghiêu
趬	khiêu
趭	tiếu
趮	táo
趯	dược, địch
趱	toản
趲	toản
足	tú, túc
趴	bát
趵	bác, báo
趸	độn
趿	táp, tát
趹	quyết, quế
趺	phu
趻	sẩm, trần
趼	kiển, nghiễn
趽	bành
趾	chỉ
跀	ngột
跁	bà, bá, bả
跂	khí, kì, kĩ, kịch, kỳ, xí
跃	dược
跄	thương
距	cự
跅	thác
跆	đài
跇	sế
跈	tiễn
跋	bạt
跌	trật, điệt
跎	đà
跏	gia, già
跑	bào
跒	kha, khả
跔	câu
跕	thiếp, điệt
跖	chích, thác
跗	phu, phụ
跚	san
跛	bí, bả
跞	lạc, lịch
践	tiễn
跐	thải, thử
跟	cân, căn, ngân
跡	tích
跢	trì, đa, đá
跣	tiên, tiển
跤	giao
跥	đọa
跦	trù
跧	thuyên
跨	khóa
跩	duệ, thế
跪	quỵ
跫	cung, củng
跬	khuể
跭	hàng
跮	sí
路	lạc, lộ
跰	bính, kiển, nghiễn
跱	trĩ
跲	cáp, cấp, kiếp
跳	khiêu, đào
跴	thải, tẩy
跶	thát, đáp
跷	khiêu, nghiêu
跸	tất
跹	tiên
跺	đóa, đọa
跻	kiểu, nghiêu, tê, tễ
跼	cục
跽	kị, kỵ
跾	thúc
跿	đồ
踁	hĩnh
踂	nhiếp
踅	sế, thệ, tiết, tuyệt
踆	thuân, tồn
踈	sơ
踉	lương, lượng
踊	dũng
踋	cước
踌	trù
踏	đạp
踐	tiễn
踑	ky
踔	trác, xước
踕	tiệp
踖	tích
踘	cúc
踛	lục
踝	hõa, hỏa, khõa, khỏa
踞	cứ
踟	trì
踠	oản, uyển
踡	quyền
踢	thích
踣	bặc, phấu
踤	tụy, tột
踥	thiếp
踦	cơ, khi, kì, kỉ, kỷ, ỷ
踧	túc, địch
踩	thái, thải
踪	tung
踫	bính
踬	chí, trí
踮	điểm
踯	trịch
踰	du, dũ
踱	đạc
踳	suyễn, xuẩn
踴	dõng, dũng
踵	chủng
踶	trì, trĩ, đề, đệ
踸	sẩm
踹	soại, suỷ, đoán
踼	thang, thảng
踽	chủ, củ
踾	bức
蹀	điệp
蹁	biên, biển
蹂	nhu, nhụ, nhựu
蹄	đề
蹅	tra, đạp
蹉	sa, tha
蹇	giản, kiển
蹈	đạo
蹊	hề
蹋	tháp, đạp
蹌	thương
蹍	chiển, niễn, triển
蹎	điên
蹏	đề
蹐	tích
蹑	nhiếp, niếp
蹒	bàn, man
蹓	lựu
蹕	tất
蹔	tạm
蹙	túc, xúc
蹚	thang
蹛	trệ
蹜	súc, xúc
蹝	sỉ
蹞	khuế, khuể
蹟	tích
蹠	chích
蹡	thương
蹢	trịch, đích
蹣	bàn, man
蹤	tung
蹦	bính, băng
蹧	tao
蹩	biết, biệt
躇	sước, trù, trừ, xước
蹪	đồi
蹫	quỳnh
蹬	đăng, đặng
蹭	thặng
蹮	tiên
蹯	phiền
蹰	trù
蹲	thuẫn, tồn, tỗn
蹳	bát
蹴	thúc, xúc
蹵	thúc, xúc
蹶	quyết, quệ
蹷	quyết
蹸	lận
蹹	tháp
蹺	khiêu, nghiêu
蹻	cược, kiều, kiểu, nghiêu
蹼	bốc, phốc
蹽	liêu
蹾	đôn
蹿	thoan
躂	thát, đáp
躉	độn
躁	táo
躃	tích
躄	tích
躅	trạc, trục
躆	cứ
躈	khiếu
躊	trù
躋	tê, tễ
躍	dược, thích
躏	lận
躑	trịch
躐	liệp
躒	lạc, lịch
躓	chí, tri, trí
躔	triền
躕	trù
躗	vệ
躚	tiên
躘	lung, lúng, lũng
躜	toàn
躠	tiết
躝	lạn
躞	tiệp
躟	nhương
躤	tạ
躡	nhiếp, niếp
躣	cù
躥	thoan
躦	toàn
躧	sỉ
躪	lận
躩	khước, quặc
躨	quỳ
身	quyên, thân
躬	cung
躭	đam
躯	khu
躰	thể
躱	đóa
躲	đóa
躳	cung
躶	khỏa, lõa
躺	thảng
軀	khu
軃	đả
軄	chức
軆	thể
车	xa
轧	ca, loát, yết
军	quân
轨	quỹ
車	xa
轩	hiên
轫	nhận
斩	trảm
軋	ca, loát, yết
转	chuyến, chuyển
轭	ách
轮	luân
软	nhuyễn
轰	hoanh, oanh
𨐅	thù
𫐇	nạp
軌	quỹ
軍	quân
轱	cô
轲	kha
轳	lô, lư
轴	trục
轵	chỉ
轶	dật, triệt, điệt
轸	chẩn
轹	lịch
轺	diêu
轻	khinh, khánh
軎	vệ
軏	nguyệt, ngột
軑	đại, đệ
軒	hiên, hiến
軔	nhận
轼	thức
载	tái, tại, tải
轾	chí
轿	kiệu
辀	chu, châu
辁	thuyên
辂	lộ, nhạ
较	giác, giảo, giếu
軖	khuông
軗	thù
軘	đồn
軛	ách
軜	nạp
軟	nhuyễn
軡	linh
転	chuyển
辄	triếp
辅	phụ
辆	lượng, lạng
軥	câu, cù
軧	để
軨	linh
軫	chẩn
軬	bổn, phạn
軮	ưởng
軯	phanh
軱	cô
軲	cô
軳	bào
軵	nhung, nhũng
軶	ách
軷	bạt
軸	trục
軹	chỉ
軺	dao, diêu
軻	kha
軼	dật, triệt, điệt
辇	liễn
辈	bối
辉	huy, huân, vận
辊	cổn
辋	võng
辌	lương
辍	chuyết, xuyết
辎	tri, truy
軾	thức
軿	bình, phanh
輀	nhi
輁	củng
輂	cúc
較	giác, giáo, giảo, giếu
輅	hạch, lộ, nhạ
輇	thuyên
輈	chu, châu
載	tái, tại, tải
輊	chí
辏	thấu
辐	bức, phúc
辑	tập
辒	uân, ôn
输	du, thâu, thú
辔	bí
輐	ngoạn
輑	khuân
輒	triếp
輓	vãn
輔	phụ
輕	khinh, khánh
辕	viên
辖	hạt
辗	niễn, triển
輗	nghê
輘	lăng
輙	triếp
輚	trản
輛	lượng, lạng
輜	chuy, tri, truy
輝	huy
輞	võng
輟	chuyết, xuyết
輠	khỏa, quả
輢	ỷ
輣	bành
輤	thiến
輥	cổn
輦	liễn
輧	bình
輨	quản
輩	bối
輪	luân
輫	bài
輬	lương
辘	lộc
輭	nhuyến, nhuyễn
輮	nhụ
輯	tập
輳	thấu
輴	xuân
輵	cát, át
輶	du
輷	oanh
輸	du, thâu, thú
輹	bức, phúc, phục
輺	tri, truy
輻	bức, phúc
輼	uân, ôn
辙	triệt
辚	lân
輾	niển, niễn, triển
輿	dư
轀	uân, uẩn, ôn
轂	cốc
轃	trân
轄	hạt
轅	viên
轆	lộc
轇	giao
轈	sào
轉	chuyến, chuyển
轊	duệ, vệ
轍	triệt
轎	kiệu
轏	sạn
轑	lao, liêu, liệu
轒	phần
轓	phiên
轔	lân, lận
轕	cát
轖	sắc
轗	khảm
轘	hoàn
轙	nghĩ
轚	kích
轝	dư
轜	nhi
轞	hạm
轟	hoanh, oanh
轠	lôi
轡	bí
轢	lịch
轣	lịch
轤	lô, lư
轥	lận
辛	tân
辜	cô
辝	từ
辞	từ
辟	bách, bễ, phích, thí, tích, tịch, tỵ
辠	tội
辡	biện, lạt
辢	lạt
辣	lạt
辤	từ
辥	tiết
辦	biện, bạn
辧	biện
辨	ban, biếm, biến, biện
辩	biện
辫	biện
辬	ban
辭	từ
辮	biện
辯	biếm, biến, biện, bạn, phán
辰	thìn, thần
辱	nhục
農	nông
辳	nông
辴	xiên, xiển
辶	sước
边	biên
辺	biên
辽	liêu
巡	duyên, tuần
达	thế, đạt
迁	thiên
迂	vu
迄	hất, ngật
迅	tấn
迆	di, dĩ
过	qua, quá
迈	mại
辵	sước
迊	nghinh, nghênh, táp, tạp
迋	cuống, vương, vượng
迍	truân
迎	nghinh, nghênh, nghịnh
运	vận
近	cấn, cận, ký
迒	hàng
迓	nhạ
返	phiên, phản
迕	ngỗ
还	hoàn, toàn
这	giá, nghiện
进	tiến, tấn
远	viến, viễn
违	vi, vy
连	liên
迟	khích, trì, trí
迢	thiều, điều
迣	sế
迤	di, dĩ
迥	huýnh, quýnh
迦	ca, già
迨	đãi
迩	nhĩ
迪	địch
迫	bài, bách
迭	tuyển, điệt
迮	trách
述	thuật
迳	kính
迴	hồi
迵	đồng
迶	hữu
迷	mê
迸	bình, bính
迹	tích
迺	nãi
迻	di
追	truy, đôi
迾	lệ
迿	tuân
退	thoái, thối
送	tống
适	quát, thích, trích, đích
逃	đào
逄	bàng
逅	cấu
逆	nghịch, nghịnh
逈	huýnh, quýnh
选	tuyến, tuyển
逊	tốn
逋	bô
逌	do, du
逍	tiêu
透	thấu
逐	trục
逑	cầu
递	đái, đệ
途	đồ
逕	kính
逖	thích, địch
逗	đậu
這	giá, nghiện
通	thông
逛	cuống
逝	thệ
逞	sính
速	tốc
造	tháo, tạo
逡	thuân
逢	bồng, phùng
連	liên, liễn
逦	lệ, lị
逩	bôn
逫	quyết, truất
逬	bình, bính
逭	hoán
逮	đãi, đệ
逯	lộc, lục, đãi, đệ
逰	du
週	chu
進	tiến, tấn
逴	sước, trác, xước
逵	quỳ
逶	uy
逷	thích, địch
逸	dật
逹	đạt
逺	viễn
逻	la
過	qua, quá
逼	bức
逾	du, dũ
逿	đãng, đường
遁	thuân, tuần, độn
遂	toại
遄	thuyên
遅	trì
遇	ngộ
遉	trinh
遊	du
運	vận
遌	ngạc, ngộ
遍	biến
遏	át
遐	hà
遑	hoàng
遒	tù, tưu
道	đáo, đạo
達	đạt
違	vi, vy
遗	di, dị
遘	cấu
遙	dao, diêu
遛	lưu, lựu
遜	tốn
遝	đạp
遞	đái, đãi, đệ
遠	viến, viển, viễn
遡	tố
遢	tháp
遣	khiển, khán
遥	dao, diêu
遨	ngao
適	quát, thích, trích, đích, địch
遫	tốc
遭	tao
遮	già
遯	độn
遰	thệ, đệ
遱	lâu
遲	trì, trí, trĩ
遴	lân, lấn, lận
遵	tuân
遶	nhiễu
遷	thiên
選	soát, toán, toản, tuyến, tuyển
遹	duật
遺	di, dị
遻	ngạc, ngộ
遼	liêu
邁	mại
遽	cự
避	tị, tỵ
邀	yêu
邂	giải
還	hoàn, toàn
邅	chiên, triên, triển, truyên
邃	thúy
邇	nhĩ
邈	mạc
邉	biên
邊	biên
邋	lạp
邏	la
邐	lệ, lị
邓	đặng
邗	hàn
邘	vu
邙	mang
邛	cung, cùng
邝	quảng
邟	kháng
邠	bân
邡	phóng, phương
邢	hình
那	na, ná, nả
邦	bang
邧	nguyên
邨	thôn
邪	da, tà, từ
邬	ổ
邷	ngõa
邑	ấp
邮	bưu
邯	hàm
邰	thai
邱	khâu, khưu
邲	bí, bật, tất
邳	bi, phi
邴	bính, bỉnh
邵	thiệu
邶	bắc, bội
邸	để
邹	trâu
邺	nghiệp
邻	lân
邽	khuê
邾	chu
邿	thi
郁	uất, Úc, úc
郃	cáp
郄	khích, khước, tức
郅	chí, chất
郇	hoàn, tuân
郈	hậu
郉	hình
郊	giao
郎	lang, rang
郏	giáp
郐	cối
郑	trịnh
郓	vận
郔	diên
郕	thành
郘	lữ
郱	bình, cảnh
郖	đậu
郗	hy, si
郙	phu, phủ
郚	ngữ
郛	phu
郜	cáo
郝	hác
郞	lang
郟	giáp
郠	cánh
郡	quận
郢	dĩnh, sính
郤	khích, khước
郦	li, ly, lịch
郧	vân
邕	ung
部	bẫu, bộ
郪	thê
郫	bì
郭	quách
郯	đàm
郰	châu, trâu
郲	lai
郳	nghê
郴	sâm
郵	bưu
郸	đan
都	đô
鄀	nhược
郹	kích
郾	yển
郿	mi, my
鄂	ngạc
鄃	du
鄄	quyên, quyến
鄅	vũ
鄆	vận
鄇	hậu
鄈	quỳ
鄉	hương, hướng, hưởng
鄊	hương
鄋	sưu
鄍	minh
鄎	tức
鄏	nhục
鄐	súc
鄑	tấn
鄒	trâu
鄔	ổ
鄕	hương, hướng
鄖	vân
鄗	hạo, khao
鄚	mạc, mạo
鄘	dong, dung
鄙	bỉ
鄛	sào
鄜	phu
鄝	liễu
鄞	ngân
鄟	chuyên
鄠	hộ
鄡	kiêu
鄢	yên, yển
鄣	chương, chướng
鄤	mạn
鄦	hứa
鄧	đặng
鄩	tầm
鄫	tăng, tằng
鄬	vy
鄭	trịnh
鄮	mậu
鄯	thiện
鄰	lân
鄱	bà
鄲	đan
鄳	mãnh
鄴	nghiệp
鄵	tháo
鄶	cối, quái
鄸	mộng
鄹	châu, trâu, tụ
鄺	quảng
鄽	triền
鄾	ưu
酂	toản, tán
酃	linh
酅	huề, hy
酆	phong
酇	ta, toản, tán
酈	li, ly, lịch
酉	dậu
酊	đinh, đính
酋	tù
酌	chước
配	phối
酎	trửu, trữu
酏	di
酐	can, hãn
酒	tửu
酓	đàm
酔	túy
酕	mao
酖	chậm, trấm, trầm, trậm, đam
酗	hung, hú, húng
酘	đầu
酚	phân
酝	uấn, uẩn, ôn, ổn
酞	thái
酟	thiêm
酡	đà
酢	thố, tạc
酣	hàm
酤	cô
酥	tô
酦	bát, phát
酧	thù
酨	tải, đại
酩	mính
酪	lạc
酬	thù
酮	đồng
酯	chỉ
酱	tương
酲	trình
酳	dận
酴	đồ
酵	diếu, giáo
酶	môi
酷	khốc
酸	toan
酹	lỗi, lội
酺	bô, bồ, bộ
酽	nghiễm, nghiệm
酾	si
酿	nhưỡng
醁	lục
醃	yêm
醄	đào
醅	phôi
醆	trản
醇	thuần
醉	túy
醊	chuyết
醋	thố, tạc
醌	côn
醍	thể, đề
醎	hàm
醐	hồ
醑	tử, tữ
醒	tinh, tỉnh
醓	thảm, thản
醕	thuần
醖	uấn
醚	my, mê
醛	thuyên, triết
醜	xú
醝	ta
醞	uấn, uẩn, ôn, ổn
醟	vinh
醠	áng, ưởng
醡	trá
醢	hải
醣	đường
醨	li, ly
醥	phiếu
醧	âu
醩	tao
醪	dao, giao, lao
醫	y, ỷ
醬	tương
醭	phốc
醮	tiếu
醯	hề, ê
醰	đàm
醱	bát, phát
醲	nùng
醳	dịch
醴	lễ
醵	cự
醶	nghiệm
醷	ải, ức
醹	nhu
醺	huân
醻	thù, trù, đạo
醼	yến
醽	linh
醾	mi, my
醿	my
釀	nhưỡng
釂	tiếu
釁	hấn
釃	si, sỉ
釄	mi, my
釅	nghiễm, nghiệm
釆	biện
采	thái, thải
釉	dứu
释	dịch, thích
釋	dịch, thích
里	lí, lý
重	trùng, trọng
野	dã
量	lương, lường, lượng
釐	hi, hy, li, ly
钆	ca
钇	ất
针	châm, trâm
钉	đinh, đính
钊	chiêu
钋	bộc
钌	liễu
金	kim
钍	thổ
钎	thiên
钏	xuyến
钐	sam, sán
钒	phàm
钓	điếu
钔	môn
钕	nục
钖	dương
钗	sai, thoa
釓	ca
釔	ất
钙	cái
钚	bất
钛	thái
钜	cự
钝	độn
钞	sao, sào, sáo
钟	chung
钠	nạp, nột
钡	bối
钢	cương
钣	bản
钤	kiềm
钥	thược
钦	khâm
钧	quân
钨	ô
钩	câu
钪	kháng
钫	phương
钬	hỏa
钭	đẩu
钮	nữu
钯	ba, bả
釕	liễu, niểu
釖	đao
釗	chiêu
釘	đinh, đính
釙	bộc, phốc
釜	phủ
針	châm, trâm
釢	nãi
钰	ngọc
钱	tiền, tiễn
钲	chinh
钳	kiềm
钴	cổ
钵	bát
钷	phả
钸	bố
钹	bạt
钺	việt
钻	toàn, toản
钼	mục
钽	đán
钾	giáp
钿	điền
铀	do
铁	thiết
铂	bạc, bạch
铃	linh
铄	thước
铅	diên, duyên
铆	mão
铇	bào
铈	thị
铉	huyễn
铊	tha
铋	bí
铌	ni
铍	phi
铎	đạc
釣	điếu
釤	sam, sàm, sám, sán, tiêm
釥	thiểu
釦	khấu, khẩu
釧	xuyến
釨	tử
釩	phiếm, phàm, phạm
釬	can, hãn, hạn
釭	cang, công
釰	nhật
釱	đại, đệ
釴	dặc
釵	sai, thoa
釶	tha, thi
釷	thổ
釹	nục
釺	thiên
鈒	táp
铏	hình
铐	khảo
铑	lão
铒	nhĩ
铓	mang
铔	a, á
铕	hữu
铗	giáp, khiếp, kiệp
铘	da
铙	nao, nạo
铛	sanh, đang
铜	đồng
铝	lữ
铞	điếu
铟	nhân
铠	khải
铡	trát
铢	thù
铣	tiển
铤	thính, đĩnh
铥	đâu
铦	thiểm, tiêm
铧	hoa
铨	thuyên
铩	sát
铪	cáp
铫	diêu, điêu, điều, điệu
铬	các
铭	minh
铮	tranh
铯	sắc
铰	giảo
铱	y
铲	sạn, sản
铳	súng
铴	thảng
铵	an
银	ngân
铷	như
𫓱	kiều
欽	khâm, khấm
釾	da, nha
釿	cân, ngân, ngận
鈀	ba, bả
鈁	phương
鈃	hình
鈄	đẩu
鈆	diên, duyên
鈇	phu
鈈	bất
鈉	nạp, nột
鈌	quyết
鈍	độn
鈎	câu
鈐	kiềm
鈑	bản
鈔	sao, sào, sáo
鈕	nữu
鈚	phê
鈛	oa
鈜	hoành
鈞	quân
鈡	chung
鈣	cái
鈤	nhật
鈥	hỏa
鈦	thái
鈧	kháng
鉅	cự
铸	chú
铹	lao
铺	phô, phố
铻	ngô, ngữ
铼	lai
铽	thắc
链	liên
铿	khanh
销	tiêu
锁	tỏa
锂	lý
锄	sừ, sự
锅	oa
锆	cáo
锇	nga
锈	tú
锉	tỏa
锊	luyệt
锋	phong
锌	tân
锎	khai
锏	giản
锐	duệ, nhuệ
锑	đễ
锒	lang
锓	tiêm, tẩm
锔	cư, cục
锕	a
鈮	ni
鈰	thị
鈴	linh
鈶	tỷ
鈷	cổ
鈸	bát, bạt
鈹	phi
鈺	ngọc
鈼	tạc
鈽	bố
鈾	do, trụ
鈿	điến, điền
鉀	giáp
鉄	thiết
鉆	kiềm, siêm
鉈	tha, xà
鉉	huyền, huyễn
鉊	chiêu
鉋	bào
鉍	bí, tất
鉎	sinh
鉏	sừ, tra, trở, tư, từ
鉑	bạc, bạch
鉒	trú
鉔	táp
鉕	phả
鉗	kiềm
鉘	thế
鉚	mão
鉛	diên, duyên
鉜	phù
鉞	hối, việt
鉟	phi
鉠	ương
鉢	bát
鉤	câu
鉥	thuật
鉦	chinh
鉧	mẫu
鉬	mục
鉭	đán
鉴	giám
锖	thương
锗	giả
锘	nặc
错	thác, thố
锚	miêu
锛	bôn
锜	ki, ky, kĩ, kỹ
锝	đắc
锞	quả
锟	côn
锠	xương
锡	tích
锢	cố
锣	la
锤	chúy, chùy
锥	chùy, trùy
锦	cẩm
锧	chất
锨	hân
锫	bồi
锭	đĩnh
键	kiện
锯	cư, cứ
锰	mãnh, mạnh
锱	tri, truy
鉵	đông
鉶	hình
鉷	hồng
鉸	giảo
鉹	di
鉺	nhĩ, nhị
鉻	các, lạc
鉼	bính
鉿	cáp
銀	ngân
銃	súng
銅	đồng
銋	nhâm
銍	chí, trất
銎	khung
銑	tiên, tiển
銒	bính
銓	thuyên
銕	thiết
銖	thù
銗	hạng
銘	minh
銚	dao, diêu, điêu, điều, điệu
銛	quát, thiểm, tiêm
銜	hàm
銠	lão
銣	như
銤	mễ
銥	y
銦	nhân
銧	quang
銨	an
銩	đâu
銪	hữu
銫	sắc
銬	khảo
銮	loan
銱	điếu
鋁	lữ, lự
鋋	diên
鋌	thính, đĩnh
鋣	da
鋩	mang
錚	tranh
锲	khiết
锴	hài, khải
锵	thương
锶	tư
锷	ngạc
锸	tráp
锹	thiêu
锺	chung
锻	đoàn, đoán, đoạn
锼	sưu
锽	hoàng
锾	hoàn
锿	ai
镀	độ
镁	mĩ, mỹ
镂	lũ
镃	tư
镄	phí
镅	my
銲	hãn, hạn
銳	duệ, nhuệ, đoái
銴	phản
銶	cầu
銷	tiêu
銸	nhiếp, triếp
銹	tú
銻	đễ
銼	tòa, tỏa
銽	tiêm
銾	cống, hống
鋀	du, đậu
鋂	môi
鋃	lang
鋄	vạn
鋅	tân, tử
鋆	quân
鋇	bối
鋈	ốc
鋊	dụ, dục
鋏	giáp, khiếp, kiệp
鋐	hoành
鋒	phong
鋕	chí
鋖	thỏa, tư
鋗	huyên, quyên
鋙	ngô, ngữ
鋜	trạc
鋝	luyệt
鋟	tiêm, tẩm, xâm
鋡	hàm
鋤	sừ
鋦	cúc, cư, cục
鋧	hiện
鋨	nga
鋪	phô, phố
鋭	duệ, nhuệ, đoái
鋯	cáo
鋰	lý
鋱	thắc
鋵	ngốc
錒	a
錵	hoa, họa
镆	mạc
镇	trấn
镈	bác
镉	cách
镊	nhiếp
镋	đảng
镌	tuyên
镍	niết
镎	nã
镏	lưu, lựu
镐	cảo, hạo
镑	bàng, bảng
镒	dật
镓	gia
镔	tấn
镕	dong, dung
鋸	cư, cứ
鋼	cương
錁	quả
錄	lục
錆	thương
錇	bậu, bồi
錈	quyển
錍	bề, phê, ty
錏	a, á
錐	chùy, trùy
錔	tháp, thạp
錕	côn
錘	chuy, chúy, chùy
錙	chuy, tri, truy
錛	bôn
錜	niệm
錞	thuần, đối, đỗi, đội
錟	tiêm, đàm
錠	đĩnh
錡	ki, ky, kĩ, kỹ
錢	tiền, tiễn
錣	chuyết
錤	cơ, ky
錦	cẩm
錧	quản
錨	miêu
錩	xương
錪	điển
錫	tích
錬	luyện
錭	điêu
錮	cố
錯	thác, thố
録	lục
錳	mãnh, mạnh
錴	lục
錶	biểu
錸	lai
錹	khẳng
錾	trạm, tạm
鍀	đắc
鍁	hân
鍆	môn
鍋	oa
鍩	nặc
鍵	kiện
鍺	giả, đả
鎁	da
鎯	lang
镖	phiêu, tiêu
镗	thang
镘	man
镚	băng
镛	dong, dung
镜	cảnh, kính
镝	đích
镞	thốc
镟	tuyền
镠	liêu, lưu
鍇	hài, khải
鍉	thi, đích, đề
鍊	luyện
鍍	độ
鍐	tông
鍑	phúc
鍔	ngạc
鍖	châm, sẩm
鍘	trát
鍚	dương
鍛	thuyến, đoàn, đoán, đoạn
鍜	hạ
鍠	hoàng
鍡	úy
鍤	sáp, tráp
鍥	khiết
鍦	thi
鍧	hoanh, oanh
鍪	mâu
鍫	thiêu
鍬	thiêu
鍭	hầu
鍮	thâu
鍰	hoàn
鍱	diệp, hiệp, tiết
鍳	giám
鍴	đoan
鍶	tung, tư
鍼	châm, kiềm, trâm
鍾	chung
鍿	truy
鎂	mĩ, mỹ
鎄	ai
鎇	my
鎚	chúy, chùy, trùy, đôi
鎝	táp
鎡	tư
鎪	sưu
镡	thiền, tầm, đàm
镢	quyết, quắc
镣	liêu
镤	bộc
镥	lỗ
镦	đôn, đối
镧	lan
镨	phổ
镩	thoản
镪	cường, cưỡng
镫	đăng, đặng
鎊	bàng, bảng
鎋	hạt
鎌	liêm
鎍	tác
鎏	lưu
鎒	nậu
鎔	dong, dung
鎖	tỏa
鎗	sang, sanh, thương
鎘	cách, lịch
鎛	bác
鎞	bế, bề, phê, tỳ
鎢	ô
鎣	oánh
鎤	hoảng
